00_2_f1_made,00_2_f1_attempt,00_2_f2_made,00_2_f2_attempt,10_2_f1_made,10_2_f1_attempt,10_2_f2_made,10_2_f2_attempt,winner_encoded
41.0,10123.0,10123.0,45.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.0,97.0,97.0,11.0,0
10.0,209.0,209.0,12.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,8.0,1613.0,1613.0,29.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0,167.0,167.0,15.0,0.0,0.0,0.0,0.0,1
11.0,3110.0,3110.0,42.0,0.0,0.0,0.0,0.0,0
17.0,254.0,254.0,7.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57.0,14136.0,14136.0,92.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,4613.0,4613.0,29.0,0.0,0.0,0.0,0.0,1
7.0,229.0,229.0,30.0,0.0,0.0,0.0,0.0,0
10.0,2919.0,2919.0,39.0,0.0,0.0,0.0,0.0,1
2.0,810.0,810.0,15.0,0.0,0.0,0.0,0.0,1
6.0,176.0,176.0,17.0,0.0,0.0,0.0,0.0,0
17.0,338.0,338.0,10.0,0.0,0.0,0.0,0.0,0
19.0,5025.0,5025.0,54.0,0.0,0.0,0.0,0.0,0
27.0,7544.0,7544.0,100.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.0,181.0,181.0,4.0,18.0,227.0,227.0,13.0,0
37.0,460.0,460.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,26.0,4418.0,4418.0,50.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,3124.0,3124.0,71.0,0.0,0.0,0.0,0.0,0
12.0,2716.0,2716.0,38.0,0.0,0.0,0.0,0.0,1
1.0,21.0,21.0,4.0,6.0,92.0,92.0,5.0,0
44.0,10548.0,10548.0,98.0,0.0,0.0,0.0,0.0,1
34.0,9449.0,9449.0,102.0,0.0,0.0,0.0,0.0,1
8.0,133.0,133.0,7.0,0.0,0.0,0.0,0.0,0
25.0,312.0,312.0,6.0,0.0,0.0,0.0,0.0,0
37.0,7536.0,7536.0,94.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,12.0,193.0,193.0,7.0,0
38.0,6716.0,6716.0,44.0,0.0,0.0,0.0,0.0,0
9.0,1812.0,1812.0,18.0,0.0,0.0,0.0,0.0,1
2.0,70.0,70.0,5.0,0.0,0.0,0.0,0.0,0
8.0,1610.0,1610.0,25.0,0.0,0.0,0.0,0.0,0
21.0,5321.0,5321.0,43.0,0.0,0.0,0.0,0.0,0
11.0,319.0,319.0,18.0,20.0,2813.0,2813.0,30.0,0
26.0,398.0,398.0,22.0,0.0,0.0,0.0,0.0,0
34.0,455.0,455.0,16.0,0.0,0.0,0.0,0.0,0
6.0,1211.0,1211.0,18.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,3.0,95.0,95.0,9.0,0
34.0,6814.0,6814.0,37.0,0.0,0.0,0.0,0.0,0
8.0,2520.0,2520.0,34.0,0.0,0.0,0.0,0.0,1
12.0,3615.0,3615.0,31.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,302.0,302.0,10.0,0.0,0.0,0.0,0.0,0
46.0,9925.0,9925.0,63.0,26.0,6416.0,6416.0,32.0,0
33.0,4821.0,4821.0,45.0,34.0,5411.0,5411.0,27.0,0
40.0,8329.0,8329.0,60.0,30.0,6217.0,6217.0,34.0,1
22.0,4511.0,4511.0,26.0,0.0,0.0,0.0,0.0,1
26.0,6223.0,6223.0,70.0,30.0,7717.0,7717.0,66.0,0
16.0,5833.0,5833.0,82.0,0.0,0.0,0.0,0.0,1
44.0,10039.0,10039.0,86.0,0.0,0.0,0.0,0.0,1
16.0,2513.0,2513.0,22.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,19.0,372.0,372.0,5.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.0,1821.0,1821.0,36.0,0.0,0.0,0.0,0.0,0
8.0,195.0,195.0,8.0,0.0,0.0,0.0,0.0,0
7.0,94.0,94.0,15.0,0.0,0.0,0.0,0.0,0
47.0,10816.0,10816.0,51.0,24.0,395.0,395.0,10.0,0
0.0,0.0,0.0,0.0,9.0,173.0,173.0,5.0,0
7.0,2110.0,2110.0,18.0,0.0,0.0,0.0,0.0,0
5.0,4732.0,4732.0,87.0,0.0,0.0,0.0,0.0,1
43.0,10333.0,10333.0,64.0,0.0,0.0,0.0,0.0,1
3.0,63.0,63.0,4.0,0.0,0.0,0.0,0.0,0
8.0,155.0,155.0,13.0,0.0,0.0,0.0,0.0,1
21.0,7235.0,7235.0,71.0,0.0,0.0,0.0,0.0,1
3.0,75.0,75.0,10.0,0.0,0.0,0.0,0.0,0
21.0,6125.0,6125.0,100.0,0.0,0.0,0.0,0.0,1
0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,1
8.0,183.0,183.0,8.0,0.0,0.0,0.0,0.0,1
35.0,6718.0,6718.0,54.0,25.0,509.0,509.0,27.0,0
0.0,0.0,0.0,0.0,21.0,299.0,299.0,16.0,0
6.0,128.0,128.0,12.0,0.0,0.0,0.0,0.0,0
87.0,17474.0,17474.0,106.0,0.0,0.0,0.0,0.0,1
26.0,478.0,478.0,17.0,0.0,0.0,0.0,0.0,0
24.0,467.0,467.0,18.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.0,930.0,930.0,40.0,0.0,0.0,0.0,0.0,1
1.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,0
15.0,2413.0,2413.0,21.0,0.0,0.0,0.0,0.0,1
43.0,6740.0,6740.0,108.0,0.0,0.0,0.0,0.0,0
26.0,5637.0,5637.0,57.0,0.0,0.0,0.0,0.0,1
30.0,6017.0,6017.0,57.0,0.0,0.0,0.0,0.0,0
28.0,3313.0,3313.0,34.0,0.0,0.0,0.0,0.0,0
2.0,62.0,62.0,7.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,54.0,8730.0,8730.0,75.0,0
2.0,116.0,116.0,13.0,0.0,0.0,0.0,0.0,0
10.0,143.0,143.0,10.0,0.0,0.0,0.0,0.0,0
5.0,1110.0,1110.0,19.0,0.0,0.0,0.0,0.0,1
20.0,6318.0,6318.0,40.0,0.0,0.0,0.0,0.0,0
9.0,1619.0,1619.0,33.0,0.0,0.0,0.0,0.0,1
24.0,3825.0,3825.0,60.0,0.0,0.0,0.0,0.0,0
18.0,5248.0,5248.0,79.0,0.0,0.0,0.0,0.0,1
10.0,2620.0,2620.0,58.0,0.0,0.0,0.0,0.0,0
5.0,175.0,175.0,14.0,3.0,100.0,100.0,2.0,0
18.0,5012.0,5012.0,34.0,20.0,459.0,459.0,23.0,0
12.0,2316.0,2316.0,31.0,0.0,0.0,0.0,0.0,1
11.0,309.0,309.0,15.0,0.0,0.0,0.0,0.0,2
19.0,4613.0,4613.0,43.0,0.0,0.0,0.0,0.0,0
17.0,2710.0,2710.0,20.0,0.0,0.0,0.0,0.0,2
33.0,5812.0,5812.0,46.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,25.0,396.0,396.0,27.0,0
9.0,3925.0,3925.0,73.0,0.0,0.0,0.0,0.0,1
11.0,3017.0,3017.0,56.0,0.0,0.0,0.0,0.0,0
2.0,315.0,315.0,23.0,49.0,787.0,787.0,13.0,0
33.0,5011.0,5011.0,28.0,0.0,0.0,0.0,0.0,0
12.0,150.0,150.0,1.0,0.0,0.0,0.0,0.0,0
3.0,1322.0,1322.0,30.0,0.0,0.0,0.0,0.0,1
14.0,2919.0,2919.0,35.0,0.0,0.0,0.0,0.0,1
65.0,10827.0,10827.0,119.0,0.0,0.0,0.0,0.0,0
2.0,65.0,65.0,10.0,0.0,0.0,0.0,0.0,1
32.0,6045.0,6045.0,69.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,27.0,368.0,368.0,22.0,0
16.0,4147.0,4147.0,99.0,0.0,0.0,0.0,0.0,1
5.0,633.0,633.0,38.0,0.0,0.0,0.0,0.0,0
27.0,7655.0,7655.0,93.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.0,6019.0,6019.0,41.0,0.0,0.0,0.0,0.0,0
52.0,8226.0,8226.0,44.0,27.0,3718.0,3718.0,34.0,0
38.0,6520.0,6520.0,49.0,0.0,0.0,0.0,0.0,0
1.0,31.0,31.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,17.0,293.0,293.0,9.0,0
8.0,125.0,125.0,11.0,0.0,0.0,0.0,0.0,0
27.0,6717.0,6717.0,34.0,0.0,0.0,0.0,0.0,0
2.0,62.0,62.0,6.0,0.0,0.0,0.0,0.0,1
0.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,1
46.0,10352.0,10352.0,125.0,0.0,0.0,0.0,0.0,0
34.0,11883.0,11883.0,159.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.0,3015.0,3015.0,29.0,0.0,0.0,0.0,0.0,1
14.0,2111.0,2111.0,22.0,0.0,0.0,0.0,0.0,1
36.0,9337.0,9337.0,74.0,0.0,0.0,0.0,0.0,1
5.0,91.0,91.0,3.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,7.0,135.0,135.0,9.0,0
9.0,123.0,123.0,10.0,0.0,0.0,0.0,0.0,0
6.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,0
9.0,1715.0,1715.0,22.0,0.0,0.0,0.0,0.0,1
14.0,224.0,224.0,17.0,0.0,0.0,0.0,0.0,0
19.0,284.0,284.0,20.0,0.0,0.0,0.0,0.0,0
27.0,6253.0,6253.0,83.0,0.0,0.0,0.0,0.0,1
